cl_opinion_id,case_name,year,issue_area,times_cited,cites_made,community,in_giant,x,y,courtlistener_url
105638,,1958,Judicial Power,1,1,1,1,355.72,225.93,https://www.courtlistener.com/opinion/105638/x/
105631,,1958,Federalism,22,22,8,1,426.91,422.39,https://www.courtlistener.com/opinion/105631/x/
105630,,1958,Economic Activity,17,28,8,1,507.6,440.99,https://www.courtlistener.com/opinion/105630/x/
105633,,1958,Economic Activity,11,1,6,1,264.95,643.09,https://www.courtlistener.com/opinion/105633/x/
105632,,1958,Judicial Power,2,3,9,1,248.54,397.47,https://www.courtlistener.com/opinion/105632/x/
105635,,1958,Civil Rights,14,5,13,1,361.09,468.63,https://www.courtlistener.com/opinion/105635/x/
105634,,1958,Criminal Procedure,4,8,5,1,268.27,469.7,https://www.courtlistener.com/opinion/105634/x/
105637,,1958,Criminal Procedure,0,1,2,1,140.16,336.73,https://www.courtlistener.com/opinion/105637/x/
105636,,1958,Attorneys,5,6,0,1,496.15,586.86,https://www.courtlistener.com/opinion/105636/x/
102946,,1938,Economic Activity,7,12,6,1,282.52,577.95,https://www.courtlistener.com/opinion/102946/x/
102947,,1938,Judicial Power,3,3,7,1,510.78,487.24,https://www.courtlistener.com/opinion/102947/x/
102945,,1938,Criminal Procedure,13,9,2,1,337.93,388.22,https://www.courtlistener.com/opinion/102945/x/
102948,,1938,Economic Activity,5,4,8,1,462.1,395.35,https://www.courtlistener.com/opinion/102948/x/
102949,,1938,Economic Activity,1,28,4,1,532.62,522.84,https://www.courtlistener.com/opinion/102949/x/
99017,,1917,Economic Activity,0,3,3,1,659.21,532.77,https://www.courtlistener.com/opinion/99017/x/
94276,,1895,Criminal Procedure,4,4,6,1,197.09,445.9,https://www.courtlistener.com/opinion/94276/x/
99013,,1917,Judicial Power,1,0,7,1,564.09,798.69,https://www.courtlistener.com/opinion/99013/x/
99992,,1922,Attorneys,3,1,10,1,656.68,541.22,https://www.courtlistener.com/opinion/99992/x/
94275,,1895,Criminal Procedure,5,24,5,1,350.71,513.09,https://www.courtlistener.com/opinion/94275/x/
88474,,1872,Economic Activity,0,0,,0,190.0,1060,https://www.courtlistener.com/opinion/88474/x/
99996,,1922,Civil Rights,3,7,7,1,374.86,607.59,https://www.courtlistener.com/opinion/99996/x/
102366,,1935,Economic Activity,1,4,9,1,476.34,589.88,https://www.courtlistener.com/opinion/102366/x/
102367,,1935,Economic Activity,3,11,4,1,639.87,360.44,https://www.courtlistener.com/opinion/102367/x/
102364,,1935,Economic Activity,2,8,4,1,644.13,316.88,https://www.courtlistener.com/opinion/102364/x/
102365,,1935,Economic Activity,2,5,6,1,478.59,603.75,https://www.courtlistener.com/opinion/102365/x/
102363,,1935,Economic Activity,8,16,4,1,619.45,334.8,https://www.courtlistener.com/opinion/102363/x/
102360,,1935,Federal Taxation,8,11,0,1,510.79,388.38,https://www.courtlistener.com/opinion/102360/x/
102368,,1935,Judicial Power,4,15,11,1,458.59,577.24,https://www.courtlistener.com/opinion/102368/x/
102369,,1935,Economic Activity,15,13,9,1,467.61,444.44,https://www.courtlistener.com/opinion/102369/x/
107703,,1968,Civil Rights,18,6,11,1,413.82,537.46,https://www.courtlistener.com/opinion/107703/x/
107702,,1968,Civil Rights,8,13,11,1,424.53,479.62,https://www.courtlistener.com/opinion/107702/x/
107701,,1968,First Amendment,107,31,1,1,384.77,349.62,https://www.courtlistener.com/opinion/107701/x/
107707,,1968,Civil Rights,13,3,1,1,423.24,282.69,https://www.courtlistener.com/opinion/107707/x/
107706,,1968,Civil Rights,11,2,1,1,338.89,340.0,https://www.courtlistener.com/opinion/107706/x/
107705,,1968,Civil Rights,38,13,1,1,384.85,318.4,https://www.courtlistener.com/opinion/107705/x/
107704,,1968,Unions,7,9,13,1,250.05,421.91,https://www.courtlistener.com/opinion/107704/x/
107709,,1968,First Amendment,1,2,1,1,458.92,222.89,https://www.courtlistener.com/opinion/107709/x/
